hash; elems
0 320
1 181
2 141
3 137
4 163
5 263
6 248
7 215
8 262
9 134
10 273
11 123
12 235
13 201
14 272
15 207
16 183
17 159
18 244
19 181
20 123
21 207
22 207
23 124
24 162
25 138
26 175
27 212
28 169
29 129
30 159
31 141
32 226
33 163
34 156
35 130
36 107
37 115
38 201
39 191
40 121
41 214
42 148
43 143
44 174
45 167
46 186
47 172
48 157
49 235
50 227
51 155
52 145
53 217
54 251
55 132
56 174
57 172
58 156
59 173
60 170
61 270
62 83
63 213
64 149
65 141
66 129
67 165
68 204
69 263
70 207
71 166
72 208
73 204
74 198
75 128
76 219
77 93
78 175
79 147
80 165
81 214
82 139
83 159
84 160
85 139
86 144
87 150
88 154
89 204
90 129
91 187
92 239
93 167
94 229
95 166
96 270
